===class change start===
AdjustDelegate -------> PickLithard
AdLogger -------> SacerdomUnderstandfic
AdDelegate -------> TinacificationHapltion
GIDDelegate -------> JecticeScrupulroleibility
FirebaseDelegate -------> OfficeularPedoform
NaverDelegate -------> DifferenceastRotly
BaseSDK -------> DulcryCase
BaseSDKImpl -------> CollectionoryEuier
FBDelegate -------> CitizeneurConatory
SDKLoginViewController -------> FlationVidformController
MWWebViewController -------> TownsterPlyateController
SUtil -------> CollectionDoloroant
USDefault -------> JejunaceousFull
UIUtil -------> LeukastBetweenate
StringUtil -------> VentlongonDifficult
SdkKeychainItemWrapper -------> MattertyTerra
SdkPrivateKeychainCfUUID -------> BrontaneousLateic
SdkCfUUID -------> NugfierSacie
UIColor+HexColor -------> UIColor+ProbyLeastier
UIView+BlockGesture -------> UIView+TripseousServiceit
NSString+Common -------> NSString+CoupletureLogodoctor
UIColor+HexStringToColorTW -------> UIColor+LacrimisticJunior
NSString+URLEncoding -------> NSString+CameraesqueMeterial
UIScreen+Sdk -------> UIScreen+GenesfulProblemcy
AlertUtil -------> FearicalVoracwise
SAlertViewDelegate -------> NorthosePariion
UIAlertController+Sdk -------> UIAlertController+SomeeryHadrage
BJBaseHTTPEngine -------> AcetoetyAud
LineDelegate -------> AnyantHospitform
ViewUtil -------> FloorariumRect
LoginButton -------> HospitalastLepidmanagementileButton
SDKBaseView -------> LatadeClosView
MWWebView -------> PluviressVersaciousView
BaseCountTimerView -------> AuctierContainView
SocialBannerView -------> HypoitionPollinproductionoryView
BasePopupView -------> EachitorGeniitiousView
SelectPayChannelView -------> DoctrNunciotView
LoginTitleView -------> KineelChildetteView
SDKTextFiledView -------> PolicyacyArchaeoibleView
SDKIconTitleButton -------> TaskthMaybekinButton
PhoneView -------> FratricHowetyView
TouchEventInterruptView -------> HomewiseVentrView
LoginTypeButton -------> UvuloBallidButton
MyTextFiled -------> OculfierSpargkinTextFiled
AccountListView -------> WhomoseRusitionView
AccountListViewCell -------> SimispecialarianEarlyeticCell
LoginWithRegViewV2 -------> OldlikeUdintudeeousView
NoticeViewV2 -------> JustScorelyView
MainHomeViewV2 -------> HabressTrialView
BindPhoneViewV2 -------> FederlingTheseitiousView
FindPasswordViewV2 -------> ForceidAsoView
RegisterAccountViewV2 -------> CorollressOmathView
AutoLoginView -------> LeproorSuantView
AccountLoginViewV2 -------> CitizeniaFoundsiveView
TermsViewV2 -------> RestGravView
BindAccountViewV2 -------> YouarColuseitView
BJError -------> AlleloitySex
SDKRequest -------> AnxiariumVehwindature
BJServiceConfigurator -------> CribresqueSatit
BJBaseResponceModel -------> AlsoifyAgesure
HttpServiceEnginePay -------> WaititeLaud
HttpServiceEngineAd -------> DarkFanandette
HttpServiceEngineLogin -------> PathyularMrsship
ExpoModel -------> ScyphPhantmyselfsion
SwitchResp -------> SellacleKind
CreateOrderResp -------> FindChelonit
UrlMode -------> ThrougharyMethodsiveMode
ConfigModel -------> InvestmentlySidsingitude
ConfigResponse -------> SinaireLepidfindaneity
LoginResponse -------> TrichinoonArchiability
AccountModel -------> TvadeRhigant
SdkUtil -------> StinityAsterature
SAppleLogin -------> GnarficMeter
LoginHelper -------> EitheratorConditionlet
PhoneInfoModel -------> CenslyPagefaction
ConfigCoreUtil -------> FerrCultural
DimeUtil -------> FlyStepuous
UIImage+ResBundle -------> UIImage+ScenetureGory
ResReader -------> HumaneerEgdayeur
NSString+Local -------> NSString+AndrbagtionVirize
SecurityUtil -------> GamwhateverwardDendresque
SdkSecurityFunction -------> OscillablyFinish
MWApplePayManager -------> OleotRule
LoginButtonData -------> ShoulderaclePartyiousData
GameUserModel -------> BehaviorenneMediacle
CCSDKDATA -------> StudentcyFloorization
